B,G,R,Label
193,187,185,1
246,238,226,1
216,205,195,1
226,217,209,1
229,219,208,1
216,205,195,1
223,207,207,1
221,214,209,1
238,229,220,1
253,242,233,1
253,242,233,1
255,253,246,1
255,253,246,1
253,252,243,1
253,252,243,1
253,252,243,1
236,224,211,1
249,235,231,1
255,249,245,1
253,249,239,1
246,232,220,1
230,222,217,1
218,210,211,1
222,212,210,1
251,237,224,1
241,222,207,1
160,151,151,1
217,202,194,1
221,210,206,1
230,213,209,1
220,208,205,1
193,190,190,1
195,190,187,1
236,219,213,1
199,188,180,1
205,198,191,1
204,198,191,1
194,188,189,1
176,171,167,1
150,151,151,1
176,170,164,1
179,175,174,1
187,182,178,1
215,211,216,1
195,193,195,1
172,169,171,1
204,199,201,1
181,181,186,1
201,200,201,1
176,177,181,1
201,197,198,1
192,194,201,1
194,195,199,1
206,207,205,1
203,199,196,1
220,198,189,1
214,207,208,1
216,219,220,1
190,196,196,1
221,217,214,1
237,229,221,1
215,210,206,1
234,235,234,1
222,215,217,1
194,199,202,1
203,202,203,1
209,204,202,1
183,182,187,1
180,177,182,1
153,154,164,1
174,176,181,1
186,185,194,1
202,196,201,1
186,179,182,1
200,200,204,1
200,193,200,1
208,204,201,1
180,177,180,1
177,181,192,1
227,223,229,1
244,229,233,1
204,200,204,1
196,191,193,1
186,180,184,1
222,209,218,1
226,230,232,1
222,210,209,1
233,220,221,1
234,227,234,1
197,193,197,1
202,204,205,1
193,191,193,1
233,223,232,1
202,202,207,1
232,223,233,1
254,254,254,1
230,224,226,1
223,224,230,1
233,222,215,1
216,208,215,1
212,211,215,1
213,215,222,1
229,220,231,1
207,207,207,1
179,181,181,1
190,186,196,1
219,203,198,1
221,214,215,1
204,203,206,1
191,192,202,1
219,215,220,1
183,182,186,1
183,182,183,1
165,160,160,1
150,148,160,1
179,181,185,1
191,186,188,1
190,185,186,1
195,192,194,1
189,184,185,1
177,178,186,1
169,171,178,1
198,197,198,1
192,187,188,1
156,153,153,1
190,188,189,1
244,238,240,1
236,225,220,1
231,221,212,1
199,192,191,1
191,183,181,1
198,190,186,1
195,194,188,1
254,250,245,1
188,184,183,1
239,226,225,1
255,252,252,1
214,204,210,1
253,248,251,1
234,230,234,1
216,211,213,1
207,204,206,1
125,126,130,0
96,109,116,0
91,103,107,0
87,105,113,0
135,148,148,0
105,124,125,0
130,143,153,0
109,116,129,0
123,135,138,0
102,104,114,0
102,114,123,0
107,117,116,0
139,158,161,0
115,132,130,0
100,128,125,0
95,122,116,0
93,120,117,0
85,115,111,0
88,104,100,0
64,82,81,0
123,137,128,0
97,119,123,0
112,126,127,0
75,93,95,0
116,125,129,0
75,88,81,0
118,134,122,0
69,74,71,0
76,70,72,0
111,119,110,0
139,139,133,0
109,114,107,0
78,83,76,0
78,82,71,0
68,69,60,0
80,91,78,0
57,55,54,0
66,65,60,0
62,60,58,0
55,58,52,0
74,70,73,0
57,59,55,0
63,54,53,0
71,70,60,0
67,62,58,0
88,81,70,0
74,75,65,0
73,81,69,0
55,63,56,0
41,41,36,0
33,33,30,0
61,60,55,0
76,99,80,0
66,83,75,0
80,96,90,0
82,98,91,0
98,93,94,0
118,117,113,0
119,118,114,0
113,128,124,0
113,128,124,0
117,123,127,0
117,123,127,0
112,124,124,0
94,104,107,0
133,139,137,0
105,119,117,0
108,122,120,0
162,164,160,0
103,125,120,0
113,121,123,0
113,121,123,0
155,157,156,0
147,141,142,0
200,191,192,0
142,136,138,0
144,145,144,0
147,149,151,0
147,149,151,0
130,132,132,0
117,131,124,0
90,103,99,0
107,117,120,0
94,108,105,0
102,112,113,0
92,101,108,0
74,83,81,0
91,100,96,0
96,99,114,0
50,56,51,0
77,71,72,0
59,67,66,0
149,150,143,0
122,130,132,0
93,99,95,0
115,133,129,0
115,129,125,0
97,105,99,0
88,89,93,0
148,145,132,0
83,81,75,0
103,118,112,0
85,103,104,0
98,110,108,0
78,82,79,0
73,85,80,0
99,112,107,0
72,84,86,0
78,92,90,0
69,104,89,0
68,71,63,0
63,64,54,0
87,106,89,0
103,111,115,0
31,40,32,0
70,79,72,0
77,86,65,0
39,49,42,0
94,96,102,0
69,90,72,0
63,67,56,0
86,86,70,0
61,63,54,0
77,77,61,0
77,68,62,0
78,100,80,0
59,55,48,0
74,70,60,0
63,57,51,0
68,62,55,0
65,60,54,0
52,52,42,0
50,49,44,0
52,43,38,0
58,50,44,0
50,46,37,0
70,68,60,0
61,59,53,0
74,69,63,0
71,64,55,0
71,70,61,0
42,39,33,0
41,36,32,0
69,73,58,0
59,58,47,0
128,134,125,0
65,73,66,0
50,53,50,0
40,36,29,0
79,73,65,0
59,59,49,0
86,83,64,0
44,46,38,0
36,33,27,0
50,51,42,0
69,66,60,0
73,67,60,0
45,46,38,0
46,41,37,0
61,65,53,0
59,57,53,0
73,72,61,0
78,65,60,0
97,97,95,0
86,109,106,0
59,77,65,0
30,24,22,0
74,80,68,0
62,60,52,0
50,56,42,0
71,86,63,0
41,41,39,0
63,66,59,0
64,79,61,0
33,35,30,0
39,40,31,0
42,50,41,0
26,28,23,0
20,19,19,0
25,29,23,0
31,32,30,0
33,33,31,0
30,28,26,0
38,44,39,0
34,35,31,0
61,68,55,0
39,44,35,0
34,47,32,0
24,28,23,0
50,59,46,0
50,46,47,0
73,74,64,0
45,44,38,0
45,56,44,0
36,44,34,0
76,84,102,0
49,63,51,0
53,67,54,0
24,31,25,0
37,40,33,0
60,75,58,0
69,73,70,0
32,36,30,0
51,62,73,0
62,67,65,0
63,79,76,0
55,64,63,0
75,104,103,0
85,106,99,0
102,109,115,0
128,141,148,0
59,76,67,0
70,82,79,0
86,84,80,0
56,58,49,0
66,72,60,0
66,62,54,0
242,230,223,1
212,208,201,1
241,224,217,1
218,208,200,1
222,211,204,1
238,231,231,1
214,207,205,1
253,233,226,1
229,221,231,1
202,204,213,1
203,199,203,1
254,251,250,1
181,180,189,1
211,209,209,1
171,174,172,1
230,225,225,1
182,180,186,1
163,171,178,1
191,190,192,1
185,186,190,1
164,167,173,1
183,182,183,1
209,206,207,1
159,158,164,1
243,229,229,1
206,201,211,1
170,173,178,1
157,161,173,1
187,185,185,1
181,180,188,1
189,194,199,1
226,222,218,1
185,188,186,1
186,188,192,1
181,185,192,1
107,116,125,0
94,117,111,0
124,135,137,0
66,89,74,0
61,76,71,0
63,59,53,0
74,67,60,0
69,75,58,0
71,65,54,0
79,106,91,0
59,75,69,0
56,63,57,0
77,73,63,0
55,51,41,0
68,71,61,0
56,63,60,0
28,29,29,0
42,50,42,0
35,46,34,0
61,69,58,0
44,55,41,0
42,52,47,0
40,48,41,0
40,36,34,0
99,93,87,0
40,35,32,0
69,66,58,0
162,165,173,1
171,168,173,1
194,191,197,1
211,203,213,1
227,218,221,1
190,195,200,1
224,218,220,1
159,160,173,1
188,184,184,1
188,189,198,1
226,227,239,1
191,188,190,1
192,192,196,1
128,129,139,1
