B,G,R,Label
243,235,234,1
251,247,252,1
226,224,226,1
201,197,199,1
195,186,186,1
166,162,168,1
185,179,176,1
211,199,198,1
232,224,218,1
254,251,240,1
205,193,202,1
219,211,214,1
246,239,248,1
226,221,222,1
246,237,231,1
230,212,200,1
188,185,185,1
174,174,174,1
93,92,94,0
98,111,117,0
50,58,50,0
41,50,37,0
43,41,39,0
67,88,84,0
92,110,120,0
50,63,52,0
96,109,85,0
81,71,68,0
70,69,59,0
77,72,63,0
86,97,88,0
152,158,161,0
116,118,110,0
108,117,113,0
99,110,115,0
94,110,92,0
65,75,70,0
56,53,45,0
81,73,65,0
